Field=#~Integer~#~50|Field=Quantity~Integer~Quantity~100|Field=Designator~String~Designator~100|Field=Value~String~Value~100|Field=Footprint~String~Footprint~100|Field=Description~String~Description~100|Field=Comment~String~Comment~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MiniFPGA.PrjPcb|ReportField=ProjectFullPath~F:\WorkDir\EleProjects\MiniFPGA\MiniFPGA.PrjPcb|ReportField=Title~Bill of Materials For Project [MiniFPGA.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~313|ReportField=ReportTime~10:40:42|ReportField=ReportDate~2017/10/10|ReportField=ReportDateTime~2017/10/10 10:40:42|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2017/10/10|ReportField=CurrentTime~10:39:19|ReportField=Date~|ReportField=DocumentFullPathAndName~F:\WorkDir\EleProjects\MiniFPGA\ADC.SchDoc|ReportField=DocumentName~ADC.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2017/10/9|ReportField=Organization~|ReportField=ProjectName~MiniFPGA.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~MiniFPGA.PrjPcb|ReportField=DataSourceFullPath~F:\WorkDir\EleProjects\MiniFPGA\MiniFPGA.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|2|ADC, DAC||SMA-V|SMA Connector|SMA
2|28|C201, C202, C211, C212, C213, C214, C239, C308, C311, C313, C314, C315, C316, C317, C318, C319, C320, C321, C332, C333, C334, C406, C410, C613, C619, C621, C628, C630|1nF|0402C|MLCC|MLCC
3|40|C203, C204, C207, C208, C209, C210, C219, C220, C221, C222, C223, C224, C225, C226, C227, C228, C229, C230, C231, C232, C233, C234, C235, C236, C238, C301, C302, C304, C305, C322, C323, C335, C402, C403, C414, C611, C618, C620, C627, C629|100nF|0402C|MLCC|MLCC
4|5|C205, C206, C240, C241, C326|1uF|0603C|MLCC|MLCC
5|43|C215, C216, C217, C218, C307, C310, C324, C325, C327, C407, C411, C413, C501, C502, C503, C504, C505, C506, C603, C604, C607, C616, C631, C633, C636, C639, C641, C642, C643, C644, C645, C646, C647, C648, C649, C650, C651, C652, C653, C654, C655, C656, C657|100nF|0603C|MLCC|MLCC
6|3|C237, C408, C412|10uF|0805C|MLCC|MLCC
7|1|C303|0|0402C|MLCC|MLCC
8|11|C306, C309, C312, C328, C329, C330, C331, C401, C405, C409, C614|100pF|0402C|MLCC|MLCC
9|1|C404|0|0603C|MLCC|MLCC
10|1|C601|100uF|1210C|MLCC|MLCC
11|6|C602, C615, C622, C623, C624, C625|10uF|1206C|MLCC|MLCC
12|1|C605|10nF|0603C|MLCC|MLCC
13|1|C606|68pF|0603C|MLCC|MLCC
14|1|C608|100pF|0603C|MLCC|MLCC
15|7|C609, C610, C617, C632, C634, C637, C640|100uF|1206C|MLCC|MLCC
16|1|C612|10nF|0402C|MLCC|MLCC
17|1|C626|220pF|0603C|MLCC|MLCC
18|2|C635, C638|1uF|0805C|MLCC|MLCC
19|7|CLK, EXTCLK4, EXTCLK5, EXTCLK6, EXTCLK7, EXTCLK8, EXTCLK9||SMA-V-NARROW|SMA Connector|SMA
20|1|CT201|10nF|CAPC0603TH|3-terminal capacitor|CAP-TH
21|2|D301, D302||SOD323|Silicon PIN diode|BAP50-03
